team1,team2,city,venue,season,toss_winner,toss_decision,winner,win_by_runs,win_by_wickets
Punjab Kings,Chennai Super Kings,Mohali,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",2025,Punjab Kings,bat,Punjab Kings,18,0
Kolkata Knight Riders,Sunrisers Hyderabad,Pune,"Maharashtra Cricket Association Stadium, Pune",2022,Kolkata Knight Riders,bat,Kolkata Knight Riders,54,0
Mumbai Indians,Sunrisers Hyderabad,Mumbai,Wankhede Stadium,2013,Sunrisers Hyderabad,bat,Mumbai Indians,0,7
Delhi Daredevils,Kolkata Knight Riders,Delhi,Feroz Shah Kotla,2015,Kolkata Knight Riders,field,Kolkata Knight Riders,0,6
Kolkata Knight Riders,Delhi Capitals,Visakhapatnam,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2024,Kolkata Knight Riders,bat,Kolkata Knight Riders,106,0
Gujarat Titans,Kolkata Knight Riders,Navi Mumbai,"Dr DY Patil Sports Academy, Mumbai",2022,Gujarat Titans,bat,Gujarat Titans,8,0
Kolkata Knight Riders,Mumbai Indians,Kolkata,"Eden Gardens, Kolkata",2024,Mumbai Indians,field,Kolkata Knight Riders,18,0
Royal Challengers Bangalore,Mumbai Indians,Bangalore,M Chinnaswamy Stadium,2011,Mumbai Indians,field,Mumbai Indians,0,9
Chennai Super Kings,Kolkata Knight Riders,Dubai,Dubai International Cricket Stadium,2021,Kolkata Knight Riders,field,Chennai Super Kings,27,0
Lucknow Super Giants,Punjab Kings,Lucknow,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,Punjab Kings,field,Punjab Kings,0,2
Kings XI Punjab,Royal Challengers Bangalore,Chandigarh,"Punjab Cricket Association Stadium, Mohali",2009/10,Kings XI Punjab,bat,Royal Challengers Bangalore,0,6
Rising Pune Supergiants,Royal Challengers Bangalore,Pune,Maharashtra Cricket Association Stadium,2016,Rising Pune Supergiants,field,Royal Challengers Bangalore,13,0
Chennai Super Kings,Mumbai Indians,Chennai,"MA Chidambaram Stadium, Chepauk",2015,Chennai Super Kings,bat,Mumbai Indians,0,6
Rajasthan Royals,Kings XI Punjab,Indore,Holkar Cricket Stadium,2018,Kings XI Punjab,field,Kings XI Punjab,0,6
Sunrisers Hyderabad,Mumbai Indians,Mumbai,"Wankhede Stadium, Mumbai",2022,Mumbai Indians,field,Sunrisers Hyderabad,3,0
Royal Challengers Bengaluru,Sunrisers Hyderabad,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2024,Royal Challengers Bengaluru,bat,Royal Challengers Bengaluru,35,0
Mumbai Indians,Kolkata Knight Riders,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",2021,Kolkata Knight Riders,field,Kolkata Knight Riders,0,7
Kolkata Knight Riders,Mumbai Indians,Kolkata,Eden Gardens,2011,Mumbai Indians,field,Mumbai Indians,0,5
Mumbai Indians,Sunrisers Hyderabad,Visakhapatnam,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2016,Mumbai Indians,field,Sunrisers Hyderabad,85,0
Royal Challengers Bengaluru,Delhi Capitals,Bengaluru,"M Chinnaswamy Stadium, Bengaluru",2025,Delhi Capitals,field,Delhi Capitals,0,6
Mumbai Indians,Rajasthan Royals,Kolkata,Eden Gardens,2013,Rajasthan Royals,bat,Mumbai Indians,0,4
Kings XI Punjab,Royal Challengers Bangalore,Chandigarh,"Punjab Cricket Association Stadium, Mohali",2015,Royal Challengers Bangalore,field,Kings XI Punjab,22,0
Chennai Super Kings,Deccan Chargers,Durban,Kingsmead,2009,Deccan Chargers,field,Deccan Chargers,0,6
Royal Challengers Bangalore,Chennai Super Kings,Pune,Maharashtra Cricket Association Stadium,2018,Chennai Super Kings,field,Chennai Super Kings,0,6
Sunrisers Hyderabad,Rajasthan Royals,Abu Dhabi,Sheikh Zayed Stadium,2014,Rajasthan Royals,field,Rajasthan Royals,0,4
Rajasthan Royals,Royal Challengers Bangalore,Jaipur,Sawai Mansingh Stadium,2018,Rajasthan Royals,bat,Rajasthan Royals,30,0
Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata,Eden Gardens,2011,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,9
Royal Challengers Bangalore,Sunrisers Hyderabad,Bangalore,M Chinnaswamy Stadium,2016,Sunrisers Hyderabad,field,Royal Challengers Bangalore,45,0
Royal Challengers Bangalore,Delhi Daredevils,Bangalore,M Chinnaswamy Stadium,2007/08,Delhi Daredevils,field,Delhi Daredevils,0,5
Chennai Super Kings,Kolkata Knight Riders,Mumbai,"Wankhede Stadium, Mumbai",2021,Kolkata Knight Riders,field,Chennai Super Kings,18,0
Chennai Super Kings,Sunrisers Hyderabad,Chennai,"MA Chidambaram Stadium, Chepauk",2013,Sunrisers Hyderabad,bat,Chennai Super Kings,0,5
Sunrisers Hyderabad,Rajasthan Royals,NA,Dubai International Cricket Stadium,2020/21,Sunrisers Hyderabad,bat,Rajasthan Royals,0,5
Chennai Super Kings,Mumbai Indians,Chennai,"MA Chidambaram Stadium, Chepauk",2009/10,Chennai Super Kings,bat,Chennai Super Kings,24,0
Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata,"Eden Gardens, Kolkata",2023,Royal Challengers Bangalore,field,Kolkata Knight Riders,81,0
Rajasthan Royals,Lucknow Super Giants,Jaipur,"Sawai Mansingh Stadium, Jaipur",2024,Rajasthan Royals,bat,Rajasthan Royals,20,0
Chennai Super Kings,Delhi Daredevils,Pune,Maharashtra Cricket Association Stadium,2018,Delhi Daredevils,field,Chennai Super Kings,13,0
Royal Challengers Bangalore,Lucknow Super Giants,Bengaluru,"M Chinnaswamy Stadium, Bengaluru",2023,Lucknow Super Giants,field,Lucknow Super Giants,0,1
Kings XI Punjab,Royal Challengers Bangalore,Chandigarh,"Punjab Cricket Association Stadium, Mohali",2012,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,5
Delhi Daredevils,Rising Pune Supergiants,Delhi,Feroz Shah Kotla,2016,Rising Pune Supergiants,field,Rising Pune Supergiants,0,7
Kolkata Knight Riders,Sunrisers Hyderabad,Mumbai,"Brabourne Stadium, Mumbai",2022,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0,7
Mumbai Indians,Chennai Super Kings,Mumbai,Wankhede Stadium,2015,Mumbai Indians,bat,Chennai Super Kings,0,6
